State,District Name,School Name
Texas,HARLANDALE ISD,Gillette Elementary
Texas,HARLANDALE ISD,H W Schulze Elementary
Texas,HARLANDALE ISD,Morrill Elementary
Texas,HARLANDALE ISD,Rayburn Elementary
Texas,HARLANDALE ISD,Vestal Elementary
Texas,HARLANDALE ISD,Wright Elementary
Texas,HARLANDALE ISD,Jewel C Wietzel Center
Texas,HARLANDALE ISD,E H Gilbert Elementary
Texas,HARLANDALE ISD,Collier Disciplinary Alternative Education Program
Texas,EDGEWOOD ISD,John F Kennedy High School 
Texas,EDGEWOOD ISD,Memorial High School 
Texas,EDGEWOOD ISD,Bexar Co Juvenile Justice Alternative Education Programs
Texas,EDGEWOOD ISD,Brentwood Middle
Texas,EDGEWOOD ISD,Alternative Center
Texas,EDGEWOOD ISD,E T Wrenn Middle
Texas,EDGEWOOD ISD,Gus Garcia Middle
Texas,EDGEWOOD ISD,Roy Cisneros Elementary
Texas,EDGEWOOD ISD,Alonso S Perales Elementary
Texas,EDGEWOOD ISD,Gardendale Elementary
Texas,EDGEWOOD ISD,L B Johnson Elementary
Texas,EDGEWOOD ISD,Las Palmas Elementary
Texas,EDGEWOOD ISD,Loma Park Elementary
Texas,EDGEWOOD ISD,Roosevelt Elementary
Texas,EDGEWOOD ISD,Stafford Elementary
Texas,EDGEWOOD ISD,Winston Elementary
Texas,EDGEWOOD ISD,H B Gonzalez Elementary
Texas,EDGEWOOD ISD,Cardenas Center
Texas,EDGEWOOD ISD,Burleson Center
Texas,EDGEWOOD ISD,Stafford Center
Texas,EDGEWOOD ISD,El Disciplinary Alternative Education Program
Texas,RANDOLPH FIELD ISD,Randolph High School 
Texas,RANDOLPH FIELD ISD,Randolph Middle
Texas,RANDOLPH FIELD ISD,Randolph Elementary
Texas,SAN ANTONIO ISD,Brackenridge High School 
Texas,SAN ANTONIO ISD,Burbank High School 
Texas,SAN ANTONIO ISD,Edison High School 
Texas,SAN ANTONIO ISD,Fox Technical High School 
Texas,SAN ANTONIO ISD,Highlands High School 
Texas,SAN ANTONIO ISD,Houston High School 
Texas,SAN ANTONIO ISD,Jefferson High School 
Texas,SAN ANTONIO ISD,Lanier High School 
Texas,SAN ANTONIO ISD,Estrada Achievement Ctr
Texas,SAN ANTONIO ISD,Jja
Texas,SAN ANTONIO ISD,Travis Early College High School 
Texas,SAN ANTONIO ISD,Young Women'S Leadership Academy
Texas,SAN ANTONIO ISD,Cooper Academy At Navarro
